Name,Company,Title,Industry,Company Size,Email,Website,Page Views,Downloads,Webinar Attended,Intent Score,Converted
Pamela Howard,Rosario-Lyons,Marketing Manager,Energy,Enterprise,luistrevino@gmail.com,http://www.fowler.org/,14,1,0,35,0
Tracy Turner,"Kirk, Carpenter and Fry",Data Analyst,Retail,Small Business,perezkimberly@yahoo.com,http://rios.biz/,12,0,1,48,0
Paul Crawford,Carter-Mendez,Product Manager,Education,Small Business,rbanks@yahoo.com,http://www.dalton-weaver.net/,7,2,0,35,0
Glen Cooper,"Jennings, Powers and Hunt",CTO,Retail,Small Business,erica83@hotmail.com,https://adams-knox.com/,10,2,0,39,0
Erin Ross,Payne-George,Product Manager,Energy,Small Business,lopezadam@yahoo.com,http://smith.org/,6,1,0,23,0
Rachel White,"Fox, Scott and Thomas",HR Manager,Education,Mid-Market,justin90@stafford.org,http://www.leonard.com/,6,1,0,25,0
Andre Munoz,"Wood, Shaw and Williams",Data Analyst,Energy,Enterprise,ramseycarlos@yahoo.com,http://www.martin-simpson.net/,6,1,0,20,0
Anna Howell,"Hunt, Sanford and Gross",Marketing Manager,Manufacturing,Small Business,idillon@hotmail.com,https://www.perry-smith.biz/,5,0,0,8,0
Holly Melendez,Schmidt-Mcneil,Marketing Manager,Retail,Mid-Market,hernandezkendra@gmail.com,https://rhodes.com/,7,1,0,23,0
Amy Martin,Martin-Park,CTO,Education,Mid-Market,jensendavid@gmail.com,https://www.may.net/,14,2,0,47,0
Michael Cobb,Dawson LLC,CTO,Finance,Small Business,jamie99@arroyo-cook.net,http://www.ali.com/,13,0,0,31,0
Scott Williams,"Smith, Gilmore and Wilson",Data Analyst,Healthcare,Enterprise,curtisgarza@nichols-diaz.info,http://www.hunt.com/,12,0,1,50,0
Dustin Miller,Mckenzie-Wiggins,HR Manager,Energy,Small Business,joshuahendrix@yahoo.com,https://gonzales.com/,13,0,0,28,0
Stefanie Giles,Thornton LLC,Product Manager,Technology,Mid-Market,tonyarogers@cooper.com,http://www.newman-davis.org/,12,1,0,36,0
Lori Burke,Schroeder-Turner,CTO,Retail,Small Business,williamwillis@knight.com,https://www.henderson.com/,5,3,0,42,0
Claudia Hancock,Stephenson-Cooper,Product Manager,Technology,Enterprise,taylormarshall@ellison.com,https://www.white.net/,8,1,0,22,0
Olivia Wiggins,"Ortiz, Jackson and Mcbride",Sales Director,Retail,Enterprise,aliciafrench@hill.com,http://www.juarez-soto.com/,8,4,0,59,0
Jennifer Castillo,Andersen-Jackson,CTO,Education,Mid-Market,joshuaholt@gmail.com,https://chavez.org/,8,1,0,22,0
William Medina,Carey Ltd,Data Analyst,Education,Enterprise,noblebonnie@yahoo.com,https://berry-cain.com/,13,2,0,46,0
Debra Jones DDS,"Myers, Weaver and Brooks",Sales Director,Retail,Small Business,gbennett@gmail.com,http://www.perez.biz/,13,4,0,67,1
Robert Boyle,Barber PLC,Product Manager,Retail,Enterprise,njones@gmail.com,https://taylor-fernandez.com/,9,3,0,49,0
Derek Johnson,Sellers-Finley,Data Analyst,Education,Small Business,wandabrooks@mccoy.com,https://www.baxter-rich.org/,3,1,0,16,0
Dawn Graham,Turner and Sons,CEO,Finance,Mid-Market,briggspenny@hotmail.com,https://www.cooper-jordan.biz/,8,2,0,39,0
Michelle Lucas,Cooper PLC,CEO,Finance,Enterprise,osbornesarah@hotmail.com,http://reynolds-sandoval.com/,14,2,0,52,0
Steve Pearson,"Golden, Lewis and Carroll",Sales Director,Healthcare,Enterprise,hilljessica@abbott.com,https://www.maldonado.com/,8,3,0,42,0
James Solis,Collins-Ward,HR Manager,Technology,Mid-Market,seth05@yahoo.com,https://www.stephens.com/,10,0,0,24,0
Melissa Thornton,"Hickman, Moore and Garcia",Marketing Manager,Education,Enterprise,lawrenceclark@yahoo.com,https://www.evans.com/,10,1,0,29,0
Robert Lopez,Hill LLC,Marketing Manager,Education,Enterprise,johnathanrivas@hotmail.com,https://www.zavala-adams.biz/,12,2,0,48,0
Katherine Johnson,Kelley-Gonzales,Marketing Manager,Technology,Enterprise,brandi68@weaver.com,http://www.jimenez-cook.com/,9,3,1,74,1
